Price,Close
Ticker,INFY.NS
Date,
2025-06-19,1560.2352294921875
2025-06-20,1564.573486328125
2025-06-23,1527.071533203125
2025-06-24,1524.7576904296875
2025-06-25,1556.8609619140625
2025-06-26,1557.92138671875
2025-06-27,1550.208984375
2025-06-30,1544.2318115234375
2025-07-01,1549.05224609375
2025-07-02,1552.619140625
2025-07-03,1560.5244140625
2025-07-04,1581.733642578125
2025-07-07,1568.5262451171875
2025-07-08,1579.8055419921875
2025-07-09,1574.9853515625
2025-07-10,1557.728759765625
2025-07-11,1537.5797119140625
2025-07-14,1513.8638916015625
2025-07-15,1528.614013671875
2025-07-16,1550.1126708984375
2025-07-17,1526.589599609375
2025-07-18,1529.095947265625
2025-07-21,1527.36083984375
2025-07-22,1514.4423828125
2025-07-23,1517.9129638671875
2025-07-24,1496.70361328125
2025-07-25,1461.2261962890625
2025-07-28,1461.515380859375
2025-07-29,1459.2979736328125
2025-07-30,1464.40771484375
2025-07-31,1454.76708984375
2025-08-01,1416.782958984375
2025-08-04,1427.291259765625
2025-08-05,1407.8172607421875
2025-08-06,1385.0654296875
2025-08-07,1385.2581787109375
2025-08-08,1371.9542236328125
2025-08-11,1376.870849609375
2025-08-12,1372.9183349609375
2025-08-13,1375.3284912109375
2025-08-14,1395.6700439453125
2025-08-18,1384.19775390625
2025-08-19,1388.2469482421875
2025-08-20,1442.427001953125
2025-08-21,1442.619873046875
2025-08-22,1434.0396728515625
2025-08-25,1477.0367431640625
2025-08-26,1474.6265869140625
2025-08-28,1446.1868896484375
2025-08-29,1416.782958984375
2025-09-01,1445.5120849609375
2025-09-02,1444.837158203125
2025-09-03,1425.9415283203125
2025-09-04,1410.4202880859375
2025-09-05,1392.681396484375
2025-09-08,1381.402099609375
2025-09-09,1450.2359619140625
2025-09-10,1477.518798828125
2025-09-11,1455.4417724609375
2025-09-12,1470.7703857421875
2025-09-15,1454.1885986328125
2025-09-16,1456.9844970703125
2025-09-17,1467.685546875
2025-09-18,1485.2313232421875
2025-09-19,1484.845703125
2025-09-22,1445.6083984375
2025-09-23,1443.6802978515625
2025-09-24,1440.884521484375
2025-09-25,1431.436767578125
2025-09-26,1396.8270263671875
2025-09-29,1389.982177734375
2025-09-30,1389.982177734375
2025-10-01,1393.83837890625
2025-10-03,1394.609619140625
2025-10-06,1422.9530029296875
2025-10-07,1406.0819091796875
2025-10-08,1441.2701416015625
2025-10-09,1455.0562744140625
2025-10-10,1460.4549560546875
2025-10-13,1439.5347900390625
2025-10-14,1436.353515625
2025-10-15,1421.41064453125
2025-10-16,1418.61474609375
2025-10-17,1389.307373046875
2025-10-20,1408.395751953125
2025-10-21,1419.482421875
2025-10-23,1473.566162109375
2025-10-24,1470.57763671875
2025-10-27,1472.633056640625
2025-10-28,1468.4241943359375
2025-10-29,1478.408203125
2025-10-30,1462.1597900390625
2025-10-31,1450.9034423828125
2025-11-03,1454.0355224609375
2025-11-04,1436.808349609375
2025-11-06,1435.6336669921875
2025-11-07,1445.5198974609375
2025-11-10,1481.4425048828125
2025-11-11,1497.88671875
