Price,Close
Ticker,ADANIENT.NS
Date,
2025-06-19,2419.518310546875
2025-06-20,2447.3056640625
2025-06-23,2470.895263671875
2025-06-24,2504.480224609375
2025-06-25,2526.070556640625
2025-06-26,2585.044189453125
2025-06-27,2645.117431640625
2025-06-30,2618.229248046875
2025-07-01,2620.62841796875
2025-07-02,2629.0244140625
2025-07-03,2610.032958984375
2025-07-04,2597.9384765625
2025-07-07,2574.94873046875
2025-07-08,2590.141845703125
2025-07-09,2581.845703125
2025-07-10,2579.846435546875
2025-07-11,2557.556396484375
2025-07-14,2580.146484375
2025-07-15,2597.038818359375
2025-07-16,2607.334228515625
2025-07-17,2615.4306640625
2025-07-18,2594.93994140625
2025-07-21,2618.329345703125
2025-07-22,2586.6435546875
2025-07-23,2613.33154296875
2025-07-24,2607.234130859375
2025-07-25,2548.96044921875
2025-07-28,2521.1728515625
2025-07-29,2546.76123046875
2025-07-30,2531.767822265625
2025-07-31,2429.613525390625
2025-08-01,2349.849365234375
2025-08-04,2362.543701171875
2025-08-05,2327.159423828125
2025-08-06,2299.27197265625
2025-08-07,2248.794677734375
2025-08-08,2177.126708984375
2025-08-11,2282.37939453125
2025-08-12,2287.17724609375
2025-08-13,2279.0810546875
2025-08-14,2280.580322265625
2025-08-18,2332.55712890625
2025-08-19,2387.33251953125
2025-08-20,2386.033203125
2025-08-21,2376.137451171875
2025-08-22,2323.86083984375
2025-08-25,2301.87060546875
2025-08-26,2270.984619140625
2025-08-28,2274.18310546875
2025-08-29,2243.69677734375
2025-09-01,2283.17919921875
2025-09-02,2273.18359375
2025-09-03,2287.677001953125
2025-09-04,2277.78173828125
2025-09-05,2280.38037109375
2025-09-08,2309.8671875
2025-09-09,2310.56689453125
2025-09-10,2339.154052734375
2025-09-11,2397.72802734375
2025-09-12,2390.930908203125
2025-09-15,2382.334716796875
2025-09-16,2398.32763671875
2025-09-17,2400.926513671875
2025-09-18,2400.926513671875
2025-09-19,2522.8720703125
2025-09-22,2628.324951171875
2025-09-23,2675.203857421875
2025-09-24,2618.629150390625
2025-09-25,2575.24853515625
2025-09-26,2542.563232421875
2025-09-29,2508.37841796875
2025-09-30,2504.780029296875
2025-10-01,2591.541259765625
2025-10-03,2588.742431640625
2025-10-06,2572.349853515625
2025-10-07,2541.063720703125
2025-10-08,2522.971923828125
2025-10-09,2541.263671875
2025-10-10,2549.759765625
2025-10-13,2526.270263671875
2025-10-14,2515.875
2025-10-15,2531.668212890625
2025-10-16,2556.45703125
2025-10-17,2548.260498046875
2025-10-20,2546.96142578125
2025-10-21,2548.76025390625
2025-10-23,2544.662353515625
2025-10-24,2503.080810546875
2025-10-27,2491.68603515625
2025-10-28,2493.28515625
2025-10-29,2536.265869140625
2025-10-30,2525.7705078125
2025-10-31,2479.89111328125
2025-11-03,2465.8974609375
2025-11-04,2418.718505859375
2025-11-06,2313.265869140625
2025-11-07,2368.341064453125
2025-11-10,2297.3310546875
2025-11-11,2293.5517578125
2025-11-12,2407.609130859375
2025-11-13,2411.194580078125
2025-11-14,2438.909423828125
2025-11-17,2460.899658203125
2025-11-18,2435.7109375
2025-11-19,2432.0126953125
