Price,Close
Ticker,BSE.NS
Date,
2025-06-19,2595.39990234375
2025-06-20,2688.10009765625
2025-06-23,2775.300048828125
2025-06-24,2785.60009765625
2025-06-25,2789.0
2025-06-26,2803.0
2025-06-27,2775.60009765625
2025-06-30,2770.10009765625
2025-07-01,2775.10009765625
2025-07-02,2752.39990234375
2025-07-03,2820.10009765625
2025-07-04,2635.199951171875
2025-07-07,2636.199951171875
2025-07-08,2477.0
2025-07-09,2523.800048828125
2025-07-10,2466.300048828125
2025-07-11,2371.10009765625
2025-07-14,2460.699951171875
2025-07-15,2546.0
2025-07-16,2530.0
2025-07-17,2474.89990234375
2025-07-18,2448.5
2025-07-21,2521.300048828125
2025-07-22,2548.39990234375
2025-07-23,2557.199951171875
2025-07-24,2547.800048828125
2025-07-25,2454.0
2025-07-28,2449.89990234375
2025-07-29,2487.10009765625
2025-07-30,2457.5
2025-07-31,2427.39990234375
2025-08-01,2411.300048828125
2025-08-04,2486.60009765625
2025-08-05,2367.199951171875
2025-08-06,2387.60009765625
2025-08-07,2442.199951171875
2025-08-08,2392.89990234375
2025-08-11,2396.300048828125
2025-08-12,2368.699951171875
2025-08-13,2496.39990234375
2025-08-14,2482.0
2025-08-18,2494.800048828125
2025-08-19,2491.5
2025-08-20,2523.0
2025-08-21,2332.199951171875
2025-08-22,2332.800048828125
2025-08-25,2290.800048828125
2025-08-26,2215.60009765625
2025-08-28,2178.39990234375
2025-08-29,2096.199951171875
2025-09-01,2180.39990234375
2025-09-02,2194.199951171875
2025-09-03,2214.0
2025-09-04,2219.5
2025-09-05,2319.60009765625
2025-09-08,2346.199951171875
2025-09-09,2353.199951171875
2025-09-10,2266.5
2025-09-11,2162.800048828125
2025-09-12,2201.199951171875
2025-09-15,2227.39990234375
2025-09-16,2199.300048828125
2025-09-17,2209.800048828125
2025-09-18,2198.300048828125
2025-09-19,2182.60009765625
2025-09-22,2156.199951171875
2025-09-23,2122.199951171875
2025-09-24,2076.39990234375
2025-09-25,2043.300048828125
2025-09-26,2043.199951171875
2025-09-29,2097.39990234375
2025-09-30,2040.199951171875
2025-10-01,2081.39990234375
2025-10-03,2093.39990234375
2025-10-06,2217.89990234375
2025-10-07,2231.199951171875
2025-10-08,2244.199951171875
2025-10-09,2330.199951171875
2025-10-10,2385.0
2025-10-13,2476.0
2025-10-14,2448.300048828125
2025-10-15,2456.300048828125
2025-10-16,2509.199951171875
2025-10-17,2485.60009765625
2025-10-20,2494.10009765625
2025-10-21,2487.800048828125
2025-10-23,2487.5
2025-10-24,2475.0
2025-10-27,2510.199951171875
2025-10-28,2419.699951171875
2025-10-29,2447.300048828125
2025-10-30,2442.800048828125
2025-10-31,2479.0
2025-11-03,2548.300048828125
2025-11-04,2496.60009765625
2025-11-06,2455.5
2025-11-07,2678.300048828125
2025-11-10,2625.300048828125
2025-11-11,2644.199951171875
2025-11-12,2775.39990234375
2025-11-13,2760.199951171875
2025-11-14,2827.60009765625
2025-11-17,2811.89990234375
2025-11-18,2834.10009765625
2025-11-19,2898.300048828125
2025-11-20,2895.5
2025-11-21,2858.300048828125
2025-11-24,2802.199951171875
2025-11-25,2840.60009765625
2025-11-26,2886.699951171875
2025-11-27,2929.10009765625
2025-11-28,2902.39990234375
2025-12-01,2886.60009765625
2025-12-02,2843.199951171875
2025-12-03,2751.10009765625
2025-12-04,2765.0
2025-12-05,2815.89990234375
2025-12-08,2798.800048828125
2025-12-09,2715.800048828125
2025-12-10,2581.699951171875
2025-12-11,2698.800048828125
2025-12-12,2735.0
2025-12-15,2648.89990234375
2025-12-16,2605.89990234375
2025-12-17,2630.5
2025-12-18,2682.89990234375
2025-12-19,2684.800048828125
2025-12-22,2775.5
2025-12-23,2737.5
2025-12-24,2670.89990234375
2025-12-26,2649.0
2025-12-29,2628.300048828125
2025-12-30,2581.0
2025-12-31,2632.199951171875
2026-01-01,2628.0
2026-01-02,2666.5
2026-01-05,2673.89990234375
2026-01-06,2706.300048828125
2026-01-07,2744.89990234375
2026-01-08,2694.0
2026-01-09,2669.5
2026-01-12,2790.60009765625
2026-01-13,2832.0
2026-01-14,2836.800048828125
2026-01-15,2836.800048828125
2026-01-16,2808.699951171875
2026-01-19,2726.699951171875
2026-01-20,2653.39990234375
2026-01-21,2628.800048828125
2026-01-22,2708.60009765625
2026-01-23,2685.39990234375
2026-01-27,2761.199951171875
2026-01-28,2821.5
2026-01-29,2861.60009765625
2026-01-30,2797.0
2026-02-02,2701.60009765625
2026-02-03,2860.800048828125
2026-02-04,2896.300048828125
2026-02-05,2892.199951171875
2026-02-06,2897.0
2026-02-09,2985.10009765625
2026-02-10,3174.199951171875
2026-02-11,3177.10009765625
2026-02-12,3143.199951171875
2026-02-13,3025.300048828125
2026-02-16,2804.60009765625
2026-02-17,2742.300048828125
2026-02-18,2824.0
2026-02-19,2741.39990234375
2026-02-20,2739.5
2026-02-23,2725.300048828125
2026-02-24,2751.10009765625
2026-02-25,2772.699951171875
2026-02-26,2800.89990234375
2026-02-27,2707.10009765625
2026-03-02,2643.60009765625
2026-03-04,2626.89990234375
2026-03-05,2761.39990234375
2026-03-06,2751.60009765625
2026-03-09,2768.89990234375
2026-03-10,2860.60009765625
2026-03-11,2837.39990234375
2026-03-12,2850.60009765625
2026-03-13,2797.0
2026-03-16,2862.60009765625
2026-03-17,2973.60009765625
2026-03-18,2995.60009765625
2026-03-19,2895.0
2026-03-20,2806.10009765625
2026-03-23,2714.39990234375
2026-03-24,2805.89990234375
2026-03-25,2890.199951171875
2026-03-27,2779.800048828125
2026-03-30,2683.5
2026-04-01,2867.60009765625
2026-04-02,2851.39990234375
2026-04-06,2982.300048828125
2026-04-07,2950.800048828125
2026-04-08,3163.60009765625
2026-04-09,3257.39990234375
2026-04-10,3281.199951171875
2026-04-13,3303.60009765625
2026-04-15,3390.699951171875
