Price,Close
Ticker,HCLTECH.NS
Date,
2025-06-19,1643.5101318359375
2025-06-20,1668.4423828125
2025-06-23,1633.24951171875
2025-06-24,1622.31787109375
2025-06-25,1646.57861328125
2025-06-26,1653.2911376953125
2025-06-27,1652.5242919921875
2025-06-30,1657.6064453125
2025-07-01,1647.7294921875
2025-07-02,1648.0169677734375
2025-07-03,1641.5924072265625
2025-07-04,1655.017333984375
2025-07-07,1640.1539306640625
2025-07-08,1637.9483642578125
2025-07-09,1605.2489013671875
2025-07-10,1595.3717041015625
2025-07-11,1571.0150146484375
2025-07-14,1553.2747802734375
2025-07-15,1502.0679931640625
2025-07-16,1498.6158447265625
2025-07-17,1480.4920654296875
2025-07-18,1496.824951171875
2025-07-21,1479.04248046875
2025-07-22,1469.0880126953125
2025-07-23,1478.462646484375
2025-07-24,1456.620849609375
2025-07-25,1440.0947265625
2025-07-28,1416.900146484375
2025-07-29,1422.98876953125
2025-07-30,1426.9510498046875
2025-07-31,1418.6397705078125
2025-08-01,1403.3699951171875
2025-08-04,1424.921630859375
2025-08-05,1432.943115234375
2025-08-06,1414.097412109375
2025-08-07,1425.9847412109375
2025-08-08,1426.177978515625
2025-08-11,1438.065185546875
2025-08-12,1448.792724609375
2025-08-13,1450.7255859375
2025-08-14,1439.8048095703125
2025-08-18,1435.1658935546875
2025-08-19,1426.5645751953125
2025-08-20,1445.796875
2025-08-21,1443.3807373046875
2025-08-22,1417.093505859375
2025-08-25,1453.7215576171875
2025-08-26,1442.7042236328125
2025-08-28,1401.147216796875
2025-08-29,1405.9793701171875
2025-09-01,1419.123046875
2025-09-02,1416.5135498046875
2025-09-03,1416.900146484375
2025-09-04,1394.8653564453125
2025-09-05,1371.3807373046875
2025-09-08,1355.917724609375
2025-09-09,1379.2088623046875
2025-09-10,1414.7740478515625
2025-09-11,1418.4464111328125
2025-09-12,1417.963134765625
2025-09-15,1417.2867431640625
2025-09-16,1433.3297119140625
2025-09-17,1431.7833251953125
2025-09-18,1443.6705322265625
2025-09-19,1418.1566162109375
2025-09-22,1391.5794677734375
2025-09-23,1381.818359375
2025-09-24,1393.8988037109375
2025-09-25,1376.019775390625
2025-09-26,1348.4761962890625
2025-09-29,1340.841064453125
2025-09-30,1338.618408203125
2025-10-01,1342.8707275390625
